opcode,mnemonic,address_mode,cycles
0xed,sbc,abs,4
0xee,inc,abs,6
0xef,bbs6,zprel,5
0xf0,beq,rel,2
0xf1,sbc,izy,5
0xf2,sbc,izp,5
0xf3,nop,imp1,1
0xf4,nop,zpx,4
0xf5,sbc,zpx,4
0xf6,inc,zpx,6
0xf7,smb7,zp,5
0xf8,sed,imp1,2
0xf9,sbc,aby,4
0xfa,plx,imp1,4
0xfb,nop,imp1,1
0xfc,nop,abx,4
0xfd,sbc,abx,4
0xfe,inc,abx,7
0xff,bbs7,zprel,5
